SALE TYPE,SOLD YEAR,CITY,STATE OR PROVINCE,ZIP OR POSTAL CODE,PRICE,BEDS,BATHS,LOCATION,SQUARE FEET,LOT SIZE,YEAR BUILT,DAYS ON MARKET,$/SQUARE FEET,HOA/MONTH,STATUS,NEXT OPEN HOUSE START TIME,NEXT OPEN HOUSE END TIME,URL (SEE https://www.redfin.com/buy-a-home/comparative-market-analysis FOR INFO ON PRICING),SOURCE,MLS#,FAVORITE,INTERESTED,LATITUDE,LONGITUDE
PAST SALE,2019,PALO ALTO,CA,94306,4250000,6,4,PALO ALTO,4358,7840,2004,,975,,Sold,,,https://www.redfin.com/CA/Palo-Alto/593-Glenbrook-Dr-94306/home/1291939,MLSListings,ML81767106,N,Y,37.4044399,-122.1227289
PAST SALE,2019,PALO ALTO,CA,94303,4425000,6,5.5,PALO ALTO,4068,13072,2018,,1088,,Sold,,,https://www.redfin.com/CA/Palo-Alto/1066-Metro-Cir-94303/home/1641403,MLSListings,ML81728782,N,Y,37.4420073,-122.1204661
PAST SALE,2019,PALO ALTO,CA,94304,6800000,6,6.5,PALO ALTO,7555,196822,1987,,900,,Sold,,,https://www.redfin.com/CA/Palo-Alto/931-Laurel-Glen-Dr-94304/home/1137794,MLSListings,ML81723221,N,Y,37.3754242,-122.1766893
PAST SALE,2019,PALO ALTO,CA,94301,6505000,5,4.5,PALO ALTO,5384,9847,2001,,1208,,Sold,,,https://www.redfin.com/CA/Palo-Alto/1321-Harker-Ave-94301/home/1761152,MLSListings,ML81713933,N,Y,37.4469311,-122.1416725
PAST SALE,2019,PALO ALTO,CA,94306,3875000,5,4,PALO ALTO,3515,43308,1946,,1102,,Sold,,,https://www.redfin.com/CA/Palo-Alto/4195-Oak-Hill-Ave-94306/home/1527666,MLSListings,ML81732116,N,Y,37.3949423,-122.1350182
PAST SALE,2019,PALO ALTO,CA,94303,4350000,5,5,PALO ALTO,3223,8699,1951,,1350,,Sold,,,https://www.redfin.com/CA/Palo-Alto/1554-Walnut-Dr-94303/home/1498464,MLSListings,ML81738974,N,Y,37.4455761,-122.1373694
PAST SALE,2019,PALO ALTO,CA,94301,11080000,7,6.5,PALO ALTO,5673,10000,2019,,1953,,Sold,,,https://www.redfin.com/CA/Palo-Alto/543-Seale-Ave-94301/home/1499144,MLSListings,ML81747691,N,Y,37.4382177,-122.141495
PAST SALE,2019,PALO ALTO,CA,94301,3900000,4,3.5,PALO ALTO,3204,5000,2006,,1217,,Sold,,,https://www.redfin.com/CA/Palo-Alto/595-Lincoln-Ave-94301/home/587695,MLSListings,ML81749889,N,Y,37.44482,-122.1508547
PAST SALE,2019,PALO ALTO,CA,94301,6900000,5,4.5,PALO ALTO,4591,6600,2017,,1503,,Sold,,,https://www.redfin.com/CA/Palo-Alto/2130-Byron-St-94301/home/1178364,MLSListings,ML81752122,N,Y,37.4371832,-122.1373694
PAST SALE,2019,PALO ALTO,CA,94306,8900000,7,8.5,PALO ALTO,9165,28586,2008,,971,,Sold,,,https://www.redfin.com/CA/Palo-Alto/4256-Manuela-Ct-94306/home/1601934,MLSListings,ML81757349,N,Y,37.393597,-122.1335168
PAST SALE,2019,PALO ALTO,CA,94306,4458899,4,4.5,PALO ALTO,3686,9788,2019,,1210,,Sold,,,https://www.redfin.com/CA/Palo-Alto/156-Monroe-Dr-94306/home/2121082,MLSListings,ML81735758,N,Y,37.4080121,-122.1157629
PAST SALE,2019,PALO ALTO,CA,94306,3300000,4,4.5,PALO ALTO,3805,6215,2007,,867,,Sold,,,https://www.redfin.com/CA/Palo-Alto/714-Chimalus-Dr-94306/home/1507248,MLSListings,ML81736906,N,Y,37.4165515,-122.138301
